"Samples","ID","Group","FBratio","Bacteroidetes","Firmicutes","dataset_name"
"763961826.stool2","763961826","stool2",0.269975632985919,0.597683683908546,0.161360030888566,"HMP"
"763982056.stool1","763982056","stool1",0.535302381400092,0.456253050045354,0.244233344210333,"HMP"
"763982056.stool2","763982056","stool2",0.037905530479472,0.777853907878149,0.0294849650136516,"HMP"
"764042746.stool1","764042746","stool1",0.0148520838260853,0.868672584337254,0.0129015980399991,"HMP"
"764042746.stool2","764042746","stool2",0.0383565227612231,0.84247875860507,0.0323145556802824,"HMP"
"764062976.stool1","764062976","stool1",4.47871036568452,0.100975353969673,0.452239364502638,"HMP"
"764062976.stool2","764062976","stool2",0.826236139191343,0.389717445314948,0.321998637392536,"HMP"
"764143897.stool1","764143897","stool1",5.97016293162667,0.0788340900250045,0.470652362015801,"HMP"
"764143897.stool2","764143897","stool2",0.437796347046392,0.562408590103209,0.246220426294697,"HMP"
"764224817.stool1","764224817","stool1",0.667627200195925,0.294179645663829,0.196402333189172,"HMP"
"764224817.stool2","764224817","stool2",0.0439543063188834,0.790002102612379,0.0347239944107865,"HMP"
"764325968.stool1","764325968","stool1",0.0800448058315056,0.852302632524402,0.0682223987300968,"HMP"
"764325968.stool2","764325968","stool2",0.135038554974785,0.820347496784615,0.110778540542976,"HMP"
"764447348.stool1","764447348","stool1",0.0492199057073374,0.653952153809637,0.0321874633476205,"HMP"
"764447348.stool2","764447348","stool2",2.21148957932393,0.125464700200728,0.277463877066911,"HMP"
"764487809.stool1","764487809","stool1",0.515330341942858,0.384271053405795,0.198026533350351,"HMP"
"764487809.stool2","764487809","stool2",0.314639933525217,0.394087392900213,0.123995631105249,"HMP"
"764669880.stool1","764669880","stool1",0.0108745441375459,1.80336484249321,0.0196107705757909,"HMP"
"764669880.stool2","764669880","stool2",0.0554188885570402,1.24786478925937,0.0691552796902196,"HMP"
"765074482.stool1","765074482","stool1",0.262539448518027,0.188084488166228,0.0493795977979567,"HMP"
"765074482.stool2","765074482","stool2",1.60502697643194,0.228635150646665,0.366965584548478,"HMP"
"765094712.stool1","765094712","stool1",0.0495800002415414,0.840105279183351,0.0416524199448307,"HMP"
"765094712.stool2","765094712","stool2",0.0663265004173388,0.803304690647055,0.0532803888994521,"HMP"
"EX1","S1","AFT",2.64660408614025,0.258714285714286,0.684714285714286,"xia_2018"
"EX10","S10","AFT",5.13189897100094,0.152714285714286,0.783714285714286,"xia_2018"
"EX11","S11","AFT",2.6849234393404,0.242571428571429,0.651285714285714,"xia_2018"
"EX12","S12","AFT",3.64193328795099,0.209857142857143,0.764285714285714,"xia_2018"
"EX13","S13","AFT",2.3805,0.285714285714286,0.680142857142857,"xia_2018"
"EX14","S14","AFT",2.30652280529671,0.291285714285714,0.671857142857143,"xia_2018"
"EX15","S15","AFT",28.7846889952153,0.0298571428571429,0.859428571428571,"xia_2018"
"EX16","S16","AFT",1.73791141812271,0.351571428571429,0.611,"xia_2018"
"EX17","S17","AFT",6.08723404255319,0.134285714285714,0.817428571428571,"xia_2018"
"EX18","S18","AFT",6.17997870074547,0.134142857142857,0.829,"xia_2018"
"EX19","S19","AFT",1.7954128440367,0.311428571428571,0.559142857142857,"xia_2018"
"EX2","S2","AFT",6.9755529685681,0.122714285714286,0.856,"xia_2018"
"EX20","S20","AFT",4.11351351351351,0.185,0.761,"xia_2018"
"EX3","S3","AFT",7.9083215796897,0.101285714285714,0.801,"xia_2018"
"EX4","S4","AFT",4.62689075630252,0.17,0.786571428571429,"xia_2018"
"EX5","S5","AFT",6.32560834298957,0.123285714285714,0.779857142857143,"xia_2018"
"EX6","S6","AFT",4.28920409771474,0.181285714285714,0.777571428571429,"xia_2018"
"EX7","S7","AFT",12.4740124740125,0.0687142857142857,0.857142857142857,"xia_2018"
"EX8","S8","AFT",8.70494186046512,0.0982857142857143,0.855571428571429,"xia_2018"
"EX9","S9","AFT",12.8772321428571,0.064,0.824142857142857,"xia_2018"
"SED1","S1","BEF",8.84011627906977,0.0982857142857143,0.868857142857143,"xia_2018"
"SED10","S10","BEF",0.641805936642554,0.572714285714286,0.367571428571429,"xia_2018"
"SED11","S11","BEF",2.26238914971309,0.273857142857143,0.619571428571429,"xia_2018"
"SED12","S12","BEF",3.23000619962802,0.230428571428571,0.744285714285714,"xia_2018"
"SED13","S13","BEF",1.33219412166781,0.418,0.556857142857143,"xia_2018"
"SED14","S14","BEF",6.61904761904762,0.129,0.853857142857143,"xia_2018"
"SED15","S15","BEF",34.5652173913043,0.0262857142857143,0.908571428571429,"xia_2018"
"SED16","S16","BEF",2.10888785481619,0.307,0.647428571428571,"xia_2018"
"SED17","S17","BEF",3.3085036255768,0.216714285714286,0.717,"xia_2018"
"SED18","S18","BEF",4.68808114961961,0.169,0.792285714285714,"xia_2018"
"SED19","S19","BEF",10.4525547445255,0.0782857142857143,0.818285714285714,"xia_2018"
"SED2","S2","BEF",2.8046357615894,0.258857142857143,0.726,"xia_2018"
"SED20","S20","BEF",4.9641214351426,0.155285714285714,0.770857142857143,"xia_2018"
"SED3","S3","BEF",5.49344096871847,0.141571428571429,0.777714285714286,"xia_2018"
"SED4","S4","BEF",1.42472546935884,0.403285714285714,0.574571428571429,"xia_2018"
"SED5","S5","BEF",3.48635409377187,0.204142857142857,0.711714285714286,"xia_2018"
